Halaman,Nama Produk,Harga,Label Produk,Jenis Penyedia,Lokasi,Jumlah Terjual,Kategori,Status Produk,URL
7,LAMPU PENERANGAN JALAN UMUM 60 WATT LENGAN TUNGGAL 3 M MERK LAMPU SIKLON,"Rp 10.715.144,00",PDN,UMKK,Kota Medan,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-medan-jaya/lampu-penerangan-jalan-umum-60-watt-lengan-tunggal-3-m-merk-lampu-siklon
7,LAMPU PENERANGAN JALAN UMUM 60 WATT LENGAN TUNGGAL 3 M MERK LAMPU SIKLON,"Rp 10.715.144,00",PDN,UMKK,Kota Surabaya,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-suroboyo-mandiri/lampu-penerangan-jalan-umum-60-watt-lengan-tunggal-3-m-merk-lampu-siklon
7,LAMPU PENERANGAN JALAN UMUM 60 WATT LENGAN TUNGGAL 3 M MERK LAMPU SIKLON,"Rp 10.715.144,00",PDN,UMKK,Kota Adm. Jakarta Barat,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-cerdas-inovasi/lampu-penerangan-jalan-umum-60-watt-lengan-tunggal-3-m-merk-lampu-siklon
7,"Penerangan Jalan Umum Lingkungan (PJUL) Tiang 4,5 Meter, Lampu LED 12W","Rp 6.250.000,00",PDN,UMKK,Kota Bandung,0,Barang,Aktif,https://katalog.inaproc.id/ana-teknik-jabar/penerangan-jalan-umum-lingkungan-pjul-tiang-4-5-meter-lampu-led-12w
7,LAMPU PENERANGAN JALAN UMUM 60 WATT LENGAN TUNGGAL 5 M MERK LAMPU SIKLON,"Rp 11.759.185,00",PDN,UMKK,Kab. Semarang,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-ageng-pradiksa/lampu-penerangan-jalan-umum-60-watt-lengan-tunggal-5-m-merk-lampu-siklon
7,LAMPU PENERANGAN JALAN UMUM 60 WATT LENGAN TUNGGAL 5 M MERK LAMPU SIKLON,"Rp 11.759.185,00",PDN,UMKK,Kota Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/san-amerta-romora/lampu-penerangan-jalan-umum-60-watt-lengan-tunggal-5-m-merk-lampu-siklon
7,LAMPU PENERANGAN JALAN UMUM 90 WATT LENGAN TUNGGAL 5 M MERK LAMPU SIKLON,"Rp 12.638.376,00",PDN,UMKK,Kota Medan,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-medan-jaya/lampu-penerangan-jalan-umum-90-watt-lengan-tunggal-5-m-merk-lampu-siklon
7,LAMPU PENERANGAN JALAN UMUM 90 WATT LENGAN TUNGGAL 5 M MERK LAMPU SIKLON,"Rp 12.638.376,00",PDN,UMKK,Kab. Bandung,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-global/lampu-penerangan-jalan-umum-90-watt-lengan-tunggal-5-m-merk-lampu-siklon
7,LAMPU PENERANGAN JALAN UMUM 90 WATT LENGAN TUNGGAL 5 M MERK LAMPU SIKLON,"Rp 12.638.376,00",PDN,UMKK,Kota Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/san-amerta-romora/lampu-penerangan-jalan-umum-90-watt-lengan-tunggal-5-m-merk-lampu-siklon
8,Terpasang - Lampu Penerangan Jalan Umum Konvensional 90Watt Beserta Kelengkapannya ITECH SOLAR,"Rp 10.395.843,00",PDN,UMKK,Kota Adm. Jakarta Barat,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-cerdas-inovasi/terpasang-lampu-penerangan-jalan-umum-konvensional-90watt-beserta-kelengkapannya-itech-solar
